member_title,member_url,pageid,source_articles,source_article_urls,root_categories,root_category_urls,categories_found_in
150 women in 150 words,https://en.wikipedia.org/wiki/150_women_in_150_words,67518878,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Royal Society of New Zealand
1874 Transit of Venus Expedition to Campbell Island,https://en.wikipedia.org/wiki/1874_Transit_of_Venus_Expedition_to_Campbell_Island,36017024,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:French Academy of Sciences
1943 Portuguese Orthographic Form,https://en.wikipedia.org/wiki/1943_Portuguese_Orthographic_Form,76390032,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Brazilian Academy of Letters
2019 revision of the SI,https://en.wikipedia.org/wiki/2019_revision_of_the_SI,30291341,Learned society,https://en.wikipedia.org/wiki/Learned_society,Category:Learned societies,https://en.wikipedia.org/wiki/Category:Learned_societies,Category:International Union of Pure and Applied Physics
2025 Louvre heist,https://en.wikipedia.org/wiki/2025_Louvre_heist,81376506,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Louvre
A. A. Albert,https://en.wikipedia.org/wiki/A._A._Albert,3326054,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
A. A. Scot Skirving,https://en.wikipedia.org/wiki/A._A._Scot_Skirving,57837454,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
A. B. McKillop,https://en.wikipedia.org/wiki/A._B._McKillop,4490825,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
A. C. Bradley,https://en.wikipedia.org/wiki/A._C._Bradley,1187174,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. C. de la Mare,https://en.wikipedia.org/wiki/A._C._de_la_Mare,56848508,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
